"id","title","description","Quotation No.","Reference No.","Agency","Published","Offer Validity Duration","Remarks","Procurement Type","Quotation Type","Procurement Nature","Procurement Method","Quotation Box No.","Procurement Category","Closing on","site briefing"
"1","Replacement of card access security system at AVA Centre, including maintenance of systems for two years","The information contained within the procurement notices/documents is intended for the sole purpose of suppliers preparing for their bids, and shall be used only for this intended purpose. They shall not be reproduced, distributed, adapted, modified, republished, displayed, broadcasted, hyperlinked, framed or transmitted in any manner or by any means without prior permission, other than for its intended purpose.","AVA000ETT18300016","AVA000/(P)010(18)","Agri-food and Veterinary Authority","08 Aug 2018 06:35PM","90 Days","Please confirm your attendance with Mr Maung Soe Soe Kyaw at Tel: 98632103 or by email (","Services","Expenditure","Non Period Contract","Open Tender","","Facilities Management ⇒ Security Equipment & Supplies","10 Sep 2018 04:00PM","24 Aug 2018 10:00AM"
"2","SS18/0089 Training package for students and staff on OST to Vietnam from 13 Dec 2018 to 21 Dec 2018.","The information contained within the procurement notices/documents is intended for the sole purpose of suppliers preparing for their bids, and shall be used only for this intended purpose. They shall not be reproduced, distributed, adapted, modified, republished, displayed, broadcasted, hyperlinked, framed or transmitted in any manner or by any means without prior permission, other than for its intended purpose.","SPO000ETQ18300350","SS18/0089","Singapore Polytechnic","08 Aug 2018 06:20PM","90 Days","This is an electronic quotation to be submitted via Gebiz. Brochures/Samples can be submitted to Procurement Office of Singapore Polytechnic (SP) ,500 Dover Rd, T523, Spore 139651 by 1pm on the Closing Date. SP reserves the right not to accept the lowest quotation; to award in partial or whole quotation & no correspondence will be entered into any supplier on the reasons for non-acceptance.","Services","Expenditure","Non Period Contract","Open Quotation","","Administration & Training ⇒ Courses","17 Aug 2018 01:00PM",""
"3","INVITATION TO QUOTE FOR THE PROVISION OF 2 (TWO) FULL-DAY OUTDOOR TEAMBUILDING COURSE","The information contained within the procurement notices/documents is intended for the sole purpose of suppliers preparing for their bids, and shall be used only for this intended purpose. They shall not be reproduced, distributed, adapted, modified, republished, displayed, broadcasted, hyperlinked, framed or transmitted in any manner or by any means without prior permission, other than for its intended purpose.","NPB000ETQ18300082","PRO_OQT0013824","National Parks Board","08 Aug 2018 06:20PM","90 Days","(1) Vendors must ensure that the price quoted in GeBIZ is consistent with what is stated in the attachments. In the event of any inconsistency, the bid quoted in GeBiz shall prevail. ","Services","Expenditure","Non Period Contract","Open Quotation","","Administration & Training ⇒ Courses","24 Aug 2018 01:00PM",""
"4","INVITATION TO QUOTE FOR THE PROVISION OF 2 (TWO) FULL-DAY LEADERSHIP DEVELOPMENT WORKSHOP","The information contained within the procurement notices/documents is intended for the sole purpose of suppliers preparing for their bids, and shall be used only for this intended purpose. They shall not be reproduced, distributed, adapted, modified, republished, displayed, broadcasted, hyperlinked, framed or transmitted in any manner or by any means without prior permission, other than for its intended purpose.","NPB000ETQ18300083","PRO_OQT0013823","National Parks Board","08 Aug 2018 06:20PM","90 Days","(1) Vendors must ensure that the price quoted in GeBIZ is consistent with what is stated in the attachments. In the event of any inconsistency, the bid quoted in GeBiz shall prevail. ","Goods","Expenditure","Non Period Contract","Open Quotation","","Administration & Training ⇒ Courses","24 Aug 2018 01:00PM",""
"5","Creative Concept & Design of NYP Marketing Collateral (Print & Digital), Out-Of-Home Displays and Publications","The information contained within the procurement notices/documents is intended for the sole purpose of suppliers preparing for their bids, and shall be used only for this intended purpose. They shall not be reproduced, distributed, adapted, modified, republished, displayed, broadcasted, hyperlinked, framed or transmitted in any manner or by any means without prior permission, other than for its intended purpose.","NYP000ETT18300017","NYP000/PR/017/2018","Nanyang Polytechnic","08 Aug 2018 05:50PM","90 Days","","Services","Expenditure","Period Contract","Open Tender","","Services ⇒ Advertising Services","06 Sep 2018 04:00PM","16 Aug 2018 11:00AM"
"6","INVITATION TO TENDER ON THE TERM CONTRACT FOR GRASSCUTTING, HORTICULTURE & ARBORICULTURE MAINTENANCE WORKS AND RENTAL OF POTTED PLANTS","The information contained within the procurement notices/documents is intended for the sole purpose of suppliers preparing for their bids, and shall be used only for this intended purpose. They shall not be reproduced, distributed, adapted, modified, republished, displayed, broadcasted, hyperlinked, framed or transmitted in any manner or by any means without prior permission, other than for its intended purpose.","CCYNYCETT18300017","NYC/ITT-2018/11","Ministry of Culture, Community and Youth - National Youth Council","08 Aug 2018 05:35PM","120 Days","Please refer to tender document for details","Services","Expenditure","Period Contract","Open Tender","","Facilities Management ⇒ Horticulture Works","10 Sep 2018 04:00PM","13 Aug 2018 09:30AM"
"7","Two (2) - Year Period Contract for Supply, Printing and Delivery of Home Team Ns Identity Card (HTNSIC) and Card Holder for SCDF National Service Full","The information contained within the procurement notices/documents is intended for the sole purpose of suppliers preparing for their bids, and shall be used only for this intended purpose. They shall not be reproduced, distributed, adapted, modified, republished, displayed, broadcasted, hyperlinked, framed or transmitted in any manner or by any means without prior permission, other than for its intended purpose.","HOMSCDETQ18300098","","Ministry of Home Affairs-Singapore Civil Defence Force","08 Aug 2018 05:35PM","90 Days","For further assistance, please contact MAJ Joshua Kan @ 68483461 for specification clarification or Mr Abdul Kalam for enquiry on quotation process.","Goods","Expenditure","Period Contract","Open Quotation","","Administration & Training ⇒ Art Supplies","23 Aug 2018 01:00PM",""
"8","Development of e-Learning Courseware and Revision of e-Learning Courseware","The information contained within the procurement notices/documents is intended for the sole purpose of suppliers preparing for their bids, and shall be used only for this intended purpose. They shall not be reproduced, distributed, adapted, modified, republished, displayed, broadcasted, hyperlinked, framed or transmitted in any manner or by any means without prior permission, other than for its intended purpose.","LTA000ETQ18300203","TR/18/12","Land Transport Authority","08 Aug 2018 05:35PM","60 Days","Tenderers are required to use templates attached to submit the Prices, Schedule of Rates, Compliance Checklist, Past Evaluation and other supporting documents through GeBIZ.","Services","Expenditure","Non Period Contract","Open Quotation","","IT&Telecommunication ⇒ IT Services & Software Development","21 Aug 2018 01:00PM",""
"9","Quotation to Design & Supply Floodlights at Tai Seng Facility Building","The information contained within the procurement notices/documents is intended for the sole purpose of suppliers preparing for their bids, and shall be used only for this intended purpose. They shall not be reproduced, distributed, adapted, modified, republished, displayed, broadcasted, hyperlinked, framed or transmitted in any manner or by any means without prior permission, other than for its intended purpose.","LTA000ETQ18300204","CQ1808","Land Transport Authority","08 Aug 2018 05:35PM","30 Days","Total Carried Forward to GeBIZ via Electronic Submission *(Excluding GST)","Services","Expenditure","Period Contract","Open Quotation","","Furniture, Office Equipment & Audio-Visual ⇒ Containers & Storage Equipment","17 Aug 2018 01:00PM",""
"10","Supply, Installation And Monitoring Of Instruments For Tuas Terminal Reclamation, Wharf Construction And Dredging Phase 2","The information contained within the procurement notices/documents is intended for the sole purpose of suppliers preparing for their bids, and shall be used only for this intended purpose. They shall not be reproduced, distributed, adapted, modified, republished, displayed, broadcasted, hyperlinked, framed or transmitted in any manner or by any means without prior permission, other than for its intended purpose.","MPA000ETT18300027","CD/PA/035/2018","Maritime and Port Authority of Singapore","08 Aug 2018 05:20PM","6 Months","A Site Showround will be conducted right after the Technical Briefing and interested Tenderers are required to complete and submit the Corporate and Individual Indemnity Form (Specimen J and K) and the particulars of the personnel attending the site showround in the Site Showround Nomination Form (Specimen L) and submit to MPA's appointed Consultant: AECOM Singapore Pte Ltd, 300 Beach Road, Singapore 199555 (Attn: Ms Amy Foo) and email (","Construction Services","Expenditure","Non Period Contract","Open Tender","","Construction ⇒ Civil Engineering","10 Sep 2018 04:00PM","15 Aug 2018 09:30AM"
